Date,Mean,Median,P5,P10,P25,P75,P90,P95,Std
2028-10-31,759.3780782981416,757.8199456782154,678.355653474716,696.1574575163253,724.5072683722269,792.6369925580665,824.9115295669949,844.9821256831156,50.99812558287081
2028-11-30,768.9219418636987,767.6650315458025,685.9680974762333,703.4604506709508,733.8365394608229,802.3213896774051,835.5336974143231,856.6083738646166,51.756953635418846
2028-12-31,779.3775956318974,777.7549777495701,696.562741837539,714.75006834053,743.3935860859414,813.4056925054474,846.8035146371219,866.4055560760281,52.05107943729215
2029-01-31,789.6142654147612,788.3379106640259,704.6556261931534,722.8541683741888,753.5170106388476,823.6985255393931,858.1762820463769,878.7491750796382,53.06377755181736
2029-02-28,796.395825933449,794.4467299218562,711.4248919862911,728.9598869632854,760.3162287859632,831.0843516763038,865.3147484626869,887.5506513734873,53.48257465834515
2029-03-31,805.2111158379261,804.2018768091862,718.9563573839864,737.9813120557594,768.3301559190369,840.1883919796267,874.3762184057241,896.0774933790715,53.96234160042838
2029-04-30,814.8587870468675,812.4776756725967,728.1169403610637,747.2305305865685,777.6287042954956,850.0675487324746,886.707288040104,909.1938449873315,54.83585392540165
2029-05-31,825.9011135683133,824.3067654524041,737.2549836177797,756.6199038892954,788.2390428283226,861.533234002606,898.6238566656677,919.8899601637385,55.76839997237305
2029-06-30,836.6581106764105,835.0664565773945,745.8776924105839,765.8819181648365,797.6779845129441,873.7072953972265,910.5787258432903,932.4109434192244,57.053754578503664
2029-07-31,847.7465137317333,846.7857724972712,754.832663319317,774.0028883201887,808.5258348318494,885.6009540342864,922.0142517992474,945.8920873654072,57.73518558728264
2029-08-31,859.5692719521714,857.9032997600843,766.1216604429499,785.1316995817309,818.7273950331406,899.0796875620483,936.2091882902297,958.3217845440314,58.89235283597097
2029-09-30,871.1835416802661,869.782514814183,774.5297338076132,796.0010687674064,830.0526717890102,910.1791873376114,949.2102148962963,971.5267839680871,60.13247999946693
2029-10-31,882.530466008567,880.7370158049215,784.5072695351014,805.2619430048668,840.2621777984119,922.9993016024845,962.3633307282018,987.0634362557993,61.24524566974941
2029-11-30,893.9700749386137,891.3829758714598,796.1726900237909,816.2181847255912,850.5157874707426,935.2738129629179,975.4699051018563,999.8839967150186,62.278306090305094
2029-12-31,905.6140104283901,903.0240361988854,806.3693172848818,826.0740658678798,862.1770812784553,947.7489914681182,987.7906393536043,1013.4522680612195,63.25940640843051
2030-01-31,916.538680620474,914.595741504351,814.9002375246189,836.4971220309744,872.881775794742,957.3229085612928,1000.120365349729,1025.1931673027852,63.8987307857663
2030-02-28,927.5001381821032,925.4179112656152,824.8490694679867,845.7059342715224,882.553536004619,969.4912055641337,1011.2600989226033,1039.35341509623,65.4763942610497
2030-03-31,937.8906935620768,935.7382507096763,831.4489779467935,854.8543606720438,893.5136641882923,981.3511172954939,1022.2138438048659,1049.184865669739,65.89162487165359
2030-04-30,948.4691207692786,946.1208681883817,842.123597156647,865.0438848943005,902.5851931267681,991.6367762359354,1036.1154374895166,1064.2472278177706,67.403392429371
2030-05-31,961.0827766522199,958.7979520768738,852.7042306960786,874.3427581218044,913.6371919959947,1005.8958367703847,1049.9334096423029,1076.937983774537,68.3271759581657
2030-06-30,972.9729637225929,970.0776890219191,863.245367201326,885.796775972785,925.6922645467171,1019.0079072706018,1062.52955962337,1091.57548212413,69.29795620088792
2030-07-31,985.9199467997806,983.7072945754101,872.9738714288169,896.6952675442103,937.0947466655307,1032.4122142661413,1077.2150096576229,1107.3102318848987,70.89926628307191
2030-08-31,1000.8933404562177,999.0532588815782,886.5828365842747,910.0417967413672,950.8895117382197,1048.5271620577016,1095.2905541284647,1122.9472312979888,72.15420426969638
2030-09-30,1014.8231282117707,1012.676593219885,898.9093275018486,923.681326013426,964.0979886643156,1062.4493432650402,1108.1755993842921,1140.7222482563916,73.04886171625282
2030-10-31,1027.089854270874,1025.1478982192043,907.4098960288484,933.631397520193,974.9608987684638,1076.0627170464356,1125.5047063904199,1153.3156807020375,74.93963480617023
2030-11-30,1040.4457421225864,1038.731160319141,920.1275347414619,944.4526543745123,988.3546604730336,1090.0062008877203,1138.279238647787,1169.4108010879431,75.82034019319418
