Date,Prophet,Auto_ARIMA,ARIMA_111,Ensemble,Ensemble_Lower_95,Ensemble_Upper_95
2027-06-30,439.76017871363126,432.7685197240374,379.7636424912,422.3139640116656,316.7018035285751,528.1335610777869
2027-07-31,447.8787162306466,434.97466581106886,379.76109072004346,426.33289220614364,318.45928906578416,535.1202060260869
2027-08-31,471.26115188747394,437.03027983218425,379.7593802673776,436.40490376309845,326.87295816569434,546.4515748707423
2027-09-30,480.27535516135924,439.0870940065829,379.7582337506476,440.7301834045096,330.95796973580957,553.2265897561451
2027-10-31,480.6516596458134,441.2270263514074,379.757465240277,441.62948939138727,329.60315805677317,554.9009273754191
2027-11-30,485.0150507430293,443.4131496967254,379.7569501076371,444.1398602179749,327.6792135932404,559.1867695016984
2027-12-31,480.2292483205959,445.5797933352429,379.75660481413587,442.98377819910735,325.1847961481093,560.4070896147977
2028-01-31,476.1757769414084,447.7101604985121,379.75637336383977,442.10796029200253,322.68350126065747,558.7938780934855
2028-02-29,472.8486928337252,449.8307477025254,379.75621822266464,441.5192933850401,321.9276018373716,562.8648451770891
2028-03-31,477.39916978688376,451.965688028396,379.756114231507,444.08668728256885,322.2929551890558,566.6004727855246
2028-04-30,493.45617824210615,454.1140746944217,379.7560445262153,451.2614085714439,328.03038602267065,574.8890620319137
2028-05-31,503.439996361034,456.2621804481609,379.7559978027457,456.0067611519563,329.0737676903046,580.5815502506296
2028-06-30,505.64452784605885,458.40276429292663,379.7559664839956,457.6377702619468,330.9888141279581,584.7811738608275
2028-07-31,511.189530594597,460.53926207179023,379.7559454910318,460.60354033572327,333.01344485698553,590.3485198452381
2028-08-31,522.93535260888,462.6775758690708,379.7559314194444,466.05027545258787,337.6753434472678,597.7679474342467
2028-09-30,537.216090923327,464.81915094556985,379.7559219872568,472.5121196970945,340.28545767871293,605.1551107622421
2028-10-31,536.509452865947,466.96156981152643,379.75591566485974,472.979309496628,338.75421141350853,607.4266268261408
2028-11-30,546.1044710623598,469.10267832790004,379.7559114269559,477.5667036964479,343.655484737142,614.092362234153
2028-12-31,553.7238297911144,471.2425861550179,379.7559085862882,481.3634142172741,344.54926658080973,617.8523719962129
2029-01-31,563.3278665396467,473.38253477190926,379.7559066821881,485.954010456574,347.2707259740652,625.8904197419583
2029-02-28,543.117219111747,475.5231639123542,379.75590540586944,478.61897136549015,338.8721473026868,620.5181488317485
2029-03-31,545.3773831937216,477.6641543068874,379.75590455035285,480.2723834224874,337.7842957668495,621.0821124918772
2029-04-30,551.327761594405,479.80497565619015,379.7559039768999,483.4018221116536,341.99796401435947,625.0417277166739
2029-05-31,560.0210242125097,481.9455038865298,379.7559035925143,487.6283119434179,342.1347309074347,632.4710751084026
2029-06-30,565.3467819337371,484.08595946799375,379.75590333486053,490.5077744210078,344.9184583925748,637.7760164861801
2029-07-31,571.7197932160727,486.2265346195749,379.75590316215516,493.8061801938191,344.3219491457822,641.0170669856708
2029-08-31,587.3992767666966,488.3672169540148,379.75590304639076,500.82721240218154,350.7964550588519,651.5479451498347
2029-09-30,600.0184512968847,490.50789422440965,379.75590296879386,506.6241192394957,356.58333717384096,657.5260523446468
2029-10-31,599.7115271537997,492.6485099439838,379.75590291678066,507.25056507110935,354.2778367950672,660.725098298712
2029-11-30,607.6248730939352,494.7890937423228,379.7559028819162,511.1651077678661,357.4693016668425,665.1327994333552
2029-12-31,611.0734582031015,496.9296932545378,379.75590285854656,513.2937516349655,357.3166282666034,668.7719887472542
2030-01-31,615.8544113187171,499.07031910518896,379.7559028428819,515.9553519250235,358.5019926541217,675.9377801696485
