Date,Prophet,Auto_ARIMA,ARIMA_111,Ensemble,Ensemble_Lower_95,Ensemble_Upper_95
2027-07-31,447.8787162306466,434.97466581106886,379.76109072004346,426.33289220614364,318.2555811822606,534.7289789836175
2027-08-31,471.26115188747394,437.03027983218425,379.7593802673776,436.40490376309845,328.24341014197387,547.6733045837613
2027-09-30,480.27535516135924,439.0870940065829,379.7582337506476,440.7301834045096,328.40340542270496,553.35851396323
2027-10-31,480.6516596458134,441.2270263514074,379.757465240277,441.62948939138727,328.97817667794556,555.557876683883
2027-11-30,485.0150507430293,443.4131496967254,379.7569501076371,444.1398602179749,328.3681447108405,558.4401892550837
2027-12-31,480.2292483205959,445.5797933352429,379.75660481413587,442.98377819910735,325.5026621012333,558.1925390615988
2028-01-31,476.1757769414084,447.7101604985121,379.75637336383977,442.10796029200253,323.3578049706365,558.6794313224585
2028-02-29,472.8486928337252,449.8307477025254,379.75621822266464,441.5192933850401,320.80996672649593,562.2640116207721
2028-03-31,477.39916978688376,451.965688028396,379.756114231507,444.08668728256885,323.8645128431807,564.7645085097229
2028-04-30,493.45617824210615,454.1140746944217,379.7560445262153,451.2614085714439,328.4342540665784,576.8567973020995
2028-05-31,503.439996361034,456.2621804481609,379.7559978027457,456.0067611519563,331.7842549429749,581.961104146128
2028-06-30,505.64452784605885,458.40276429292663,379.7559664839956,457.6377702619468,332.19573041596,583.7758991031786
2028-07-31,511.189530594597,460.53926207179023,379.7559454910318,460.60354033572327,332.0271701707924,590.2715431410659
2028-08-31,522.93535260888,462.6775758690708,379.7559314194444,466.05027545258787,335.7777861407671,597.9664131991827
2028-09-30,537.216090923327,464.81915094556985,379.7559219872568,472.5121196970945,339.78321791758384,604.639646865703
2028-10-31,536.509452865947,466.96156981152643,379.75591566485974,472.979309496628,338.98651814779794,604.847976696107
2028-11-30,546.1044710623598,469.10267832790004,379.7559114269559,477.5667036964479,342.04208471585343,612.7855767799255
2028-12-31,553.7238297911144,471.2425861550179,379.7559085862882,481.3634142172741,343.88116772596885,618.9196216658445
2029-01-31,563.3278665396467,473.38253477190926,379.7559066821881,485.954010456574,348.33754943539395,626.9857112718084
2029-02-28,543.117219111747,475.5231639123542,379.75590540586944,478.61897136549015,337.90892995453817,618.7428138956844
2029-03-31,545.3773831937216,477.6641543068874,379.75590455035285,480.2723834224874,337.70536675313804,623.0398048305071
2029-04-30,551.327761594405,479.80497565619015,379.7559039768999,483.4018221116536,340.96026365523005,625.9932276200846
2029-05-31,560.0210242125097,481.9455038865298,379.7559035925143,487.6283119434179,343.21748860186494,632.3197383883696
2029-06-30,565.3467819337371,484.08595946799375,379.75590333486053,490.5077744210078,347.17953640494613,636.999410480837
2029-07-31,571.7197932160727,486.2265346195749,379.75590316215516,493.8061801938191,347.2258224737967,642.5894234382281
2029-08-31,587.3992767666966,488.3672169540148,379.75590304639076,500.82721240218154,352.72494395374974,650.8826515419836
2029-09-30,600.0184512968847,490.50789422440965,379.75590296879386,506.6241192394957,355.4890631113828,656.0735601073402
2029-10-31,599.7115271537997,492.6485099439838,379.75590291678066,507.25056507110935,355.10153247581286,661.0704015562202
2029-11-30,607.6248730939352,494.7890937423228,379.7559028819162,511.1651077678661,355.3923034407957,666.1210850246102
2029-12-31,611.0734582031015,496.9296932545378,379.75590285854656,513.2937516349655,359.1284882110989,669.037152170609
2030-01-31,615.8544113187171,499.07031910518896,379.7559028428819,515.9553519250235,360.5672443630048,674.7638622812715
2030-02-28,613.5682670372283,501.2109511967056,379.7559028323818,515.7901154418338,356.76550174488773,674.0538197265071
2030-03-31,613.1969826434603,503.35157238234865,379.75590282534364,516.390819097542,358.0252402637976,677.2755150078176
2030-04-30,608.9941034047677,505.4921840029863,379.7559028206259,515.4588814681088,355.2216118038383,679.4605939484866
2030-05-31,616.5769653394708,507.63279620446673,379.75590281746366,519.2412405117176,356.7204449961597,682.5835803555851
2030-06-30,625.1377227068772,509.7734139714191,379.755902815344,523.4147596765836,359.6869646286857,690.2912491773752
2030-07-31,632.3696667016036,511.9140345573839,379.75590281392317,527.0567544792066,363.0305516637966,694.3325659243534
2030-08-31,651.9295878898007,514.0546536845362,379.7559028129708,535.6299396487507,367.5455662738394,702.6756579462692
